rank,company_id,company_name,broad_sector,year,return_on_equity_pct,roe_score,net_profit_margin_pct,npm_score,debt_to_equity,de_score,revenue_cagr_5yr,growth_score,interest_coverage,icr_score,composite_score,quality_rating
25,SIEMENS,Siemens Ltd,Unknown,2024,17.698769290877124,20,12.221223021582734,15,0.018167610861496385,20,11.193358902067896,15,67.15,15,85,Excellent
26,LT,Larsen & Toubro Ltd,Unknown,2024,73.76986951364175,25,7.031246466738726,10,0.11036773428232503,20,10.335347989682408,15,3.5441547518923464,12,82,Excellent
27,ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Unknown,2024,14.173779208059326,12,30.339560480700833,20,0.882975374282916,15,19.57867595245697,20,5.949506037321624,15,82,Excellent
28,BRITANNIA,Britannia Industries Ltd,Unknown,2024,66.47975077881621,25,12.725863199952292,15,0.8579439252336448,15,8.690023727476138,10,20.597560975609756,15,80,Excellent
29,BOSCHLTD,Bosch Ltd,Unknown,2024,19.547809703250117,20,14.886112273569676,15,0.0024336630554247134,20,6.717165240230294,10,71.7843137254902,15,80,Excellent
30,DABUR,Dabur India Ltd,Unknown,2024,17.477320980505695,20,14.600128990648178,15,0.1690793283149971,20,7.814065037783324,10,23.241935483870968,15,80,Excellent
31,BAJFINANCE,Bajaj Finance Ltd,Unknown,2024,16.648042118359964,20,26.287928399912687,20,3.7351013213829014,5,24.352642739542006,20,2689.1666666666665,15,80,Excellent
32,HAVELLS,Havells India Ltd,Unknown,2024,16.307415960995638,20,6.837009144701453,10,0.042596869386707724,20,13.037907939063121,15,25.357142857142858,15,80,Excellent
33,MARUTI,Maruti Suzuki India Ltd,Unknown,2024,15.133631039202927,20,9.50809964894472,10,0.0017727711330027152,20,10.510215112642584,15,117.90721649484536,15,80,Excellent
34,NAUKRI,Info Edge (India) Ltd,Unknown,2024,1.423853737915191,5,23.462145110410095,20,0.006126160620273763,20,17.115610089960743,20,28.97142857142857,15,80,Excellent
35,SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Unknown,2024,13.90436229472618,12,19.815658700538176,15,0.03721334008536497,20,10.78116321985565,15,58.331932773109244,15,77,Good
36,DIVISLAB,Divis Laboratories Ltd,Unknown,2024,11.66435809579354,12,20.395156150414277,20,0.000583217904789677,20,9.664930361854074,10,636.25,15,77,Good
37,LICI,Life Insurance Corporation of India,Unknown,2024,41.906244558927455,25,4.836600998148862,5,0.00010242018906766902,20,8.15986061977938,10,371.9375,15,75,Good
38,TITAN,Titan Company Ltd,Unknown,2024,35.90797041906327,25,6.843630099444054,10,2.2235004108463436,5,20.897163953120245,20,9.411954765751211,15,75,Good
39,BPCL,Bharat Petroleum Corporation Ltd,Unknown,2024,34.832961560408776,25,5.994201967046283,10,0.763604295274161,15,8.483226324685255,10,11.355507351168956,15,75,Good
40,IOC,Indian Oil Corporation,Unknown,2024,23.79773496686259,25,5.559462717942377,10,0.9009461530827167,15,8.008755667240486,10,10.282324578099226,15,75,Good
41,UNITDSPR,UNITDSPR,Unknown,2024,18.448637316561843,20,12.437063863616288,15,0.06787211740041929,20,3.919795554934913,5,29.05263157894737,15,75,Good
42,CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Unknown,2024,15.973097940311053,20,17.846892448990243,15,7.376722245574705,5,21.939164804975263,20,21.211764705882352,15,75,Good
43,BAJAJFINSV,Bajaj Finserv Ltd,Unknown,2024,22.824734723746797,25,14.128209309488865,15,4.66410537870472,5,20.97274568418761,20,2.197130112323319,8,73,Good
44,POWERGRID,Power Grid Corporation of India Ltd,Unknown,2024,16.915957897481018,20,33.97028990249329,20,1.331378107993613,10,5.510261937513361,10,4.60298643565485,12,72,Good
45,CIPLA,Cipla Ltd,Unknown,2024,14.645841413108625,12,16.11701714906495,15,0.01625356979162994,20,9.513860126378049,10,35.33876811594203,15,72,Good
46,ICICIGI,ICICI Lombard General Insurance Company Ltd,Unknown,2024,14.084403669724772,12,9.366915605017816,10,0.0,20,12.911841003362579,15,160.02678571428572,15,72,Good
47,WIPRO,WIPRO,Unknown,2024,13.655131734172238,12,12.379679144385026,15,0.2369494691309477,20,8.747228996316725,10,15.444621513944224,15,72,Good
48,DMART,Avenue Supermarts Ltd,Unknown,2024,12.59310755785083,12,4.993207190533383,5,0.03540570066540868,20,20.48312440202782,20,73.29310344827586,15,72,Good
49,GAIL,GAIL (India) Ltd,Unknown,2024,11.816153396413274,12,7.433122166511544,10,0.23424691858869573,20,11.825154521824267,15,23.624478442280946,15,72,Good
