company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning_flag,asset_turnover,net_debt_cr,free_cash_flow_cr,capex_cr,capex_intensity_pct,fcf_conversion_rate_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,revenue_cagr_5yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,composite_quality_score
ADANIPORTS,2013,45.820519988817445,66.59211629857423,25.633406318423525,13.22304873986899,7.791775612075114,1.817328745699093,False,5.029520295202952,,False,0.17004991680532447,11398.0,-3757.0,5136.0,143.58400894604418,-157.7246011754828,8.0,15.945137157107231,,11620.0,1379.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIPORTS,2014,36.04554865424431,60.43478260869565,19.86309184255562,13.42439293598234,7.055152571220165,1.4807758128921849,False,3.6888433981576254,,False,0.19572881630668235,12916.0,-1378.0,2510.0,51.96687370600414,-47.20794792737239,8.0,21.17149758454106,,12979.0,1132.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIPORTS,2015,37.77633289986996,63.42652795838751,21.58848118903855,13.67156021162538,7.243937410385887,1.651277287505806,False,3.90468085106383,,False,0.19175861853999127,17516.0,572.0,2485.0,40.39336801040312,14.659149154279858,11.0,26.002415458937197,,17776.0,3057.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIPORTS,2016,40.17442678295119,64.38317625545083,21.147723065531284,12.768153541440007,7.44040640875342,1.6543502406516104,False,4.72153024911032,,False,0.18520255308063047,21797.0,-1772.0,4153.0,58.418905612603744,-38.71531570897968,14.0,32.6207729468599,,22342.0,2381.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIPORTS,2017,46.23770588932338,64.20191965872733,22.264064817984707,13.633618520382488,8.997209988701607,1.2674883030925481,False,5.784050179211469,,False,0.19458599460444095,21053.0,1434.0,2629.0,31.152980210925463,26.46733111849391,19.0,42.333333333333336,,22214.0,4063.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIPORTS,2018,32.588536606906295,63.20763048662016,17.652968473424867,16.539181475747004,7.812334596574429,1.0701813136870306,False,5.067131095630145,,False,0.23972646243092752,21291.0,1762.0,3846.0,33.966263357767374,24.6192538773229,18.0,50.490338164251206,,22370.0,5608.0,25.918201916791972,,17.622249929148204,,17.607902252467355,,
ADANIPORTS,2019,37.02517162471396,60.37528604118994,16.596914492040046,12.664157898778896,7.183321198344907,1.1370425077958313,False,5.693140794223827,,False,0.19401182717408677,26930.0,1661.0,4368.0,39.98169336384439,25.181928441479684,19.0,58.869565217391305,,27712.0,6029.0,17.732092499981555,,18.36517675362346,,18.88654957871243,,
ADANIPORTS,2020,31.8790533142424,50.08843594710688,14.868209136976077,10.67703190362484,6.113022271750893,1.1879640177554307,False,4.036391594054331,,False,0.1917567065587803,29064.0,6653.0,749.0,6.308430893624189,111.87153186480579,19.0,62.70197044334975,,30242.0,7402.0,14.053555422033593,,10.246789703569824,,11.550670014054099,,
ADANIPORTS,2021,40.23107569721115,69.22709163346613,16.586183108307875,13.104863038494027,6.769729961652946,1.1778522387569397,False,4.725055432372505,,False,0.16827116462417205,33619.0,-6508.0,14064.0,112.06374501992032,-74.90791896869244,25.0,74.97783251231527,,35855.0,7556.0,12.038437201046982,,12.070015891980223,,12.295510705682112,,
ADANIPORTS,2022,28.93276476429698,55.65745662713943,11.843332297171278,10.615446321137306,5.037222357822797,1.1461944955883407,False,4.465408805031447,,False,0.1741009681881051,44774.0,4927.0,5493.0,32.087154623517726,51.710747271200674,23.0,99.10189573459715,,47935.0,10420.0,15.196021711535357,,4.885683476768143,,3.8950477489882784,,
